,0
477,21620.016
478,22015.016
479,22800.015
480,24000.02
481,24985.019
482,25770.019
483,25180.021
484,26090.021
485,25185.02
486,26685.02
487,26105.019
488,26870.022
489,27065.023
490,27505.022
491,27345.022
492,28130.024
493,28520.026
494,29490.028000000002
495,29105.027000000002
496,29295.029000000002
497,30080.028000000002
498,30280.028000000002
499,29690.030000000002
500,28715.032
501,28165.032000000003
502,27190.032000000003
503,27935.032000000003
504,29100.034
505,29300.034
506,29305.033
507,29890.034
508,28950.034
509,29145.035
510,30120.035
511,30510.037
512,30490.043
513,30100.044
514,28735.044
515,29725.042
516,30315.042
517,29540.041
518,30310.043
519,30705.042
520,30710.045000000002
521,29000.049000000003
522,29595.049000000003
523,29985.049000000003
524,30380.051000000003
525,29985.052000000003
526,30220.052000000003
527,30615.051000000003
528,30415.056000000004
529,30400.059000000005
530,29425.059000000005
531,29225.061000000005
532,29465.065000000002
533,30410.065000000002
534,31580.065000000002
535,31425.066000000003
536,31615.068000000003
537,32600.067000000003
538,31405.067000000003
539,30900.066000000003
540,30180.072000000004
541,29245.071000000004
542,29050.071000000004
543,28110.071000000004
544,26550.071000000004
545,27320.075000000004
546,27330.075000000004
547,26980.075000000004
548,27210.076000000005
549,27785.079000000005
550,27440.079000000005
551,28220.079000000005
552,28215.080000000005
553,28810.079000000005
554,29040.079000000005
555,28700.077000000005
556,28395.080000000005
557,28395.081000000006
558,28360.081000000006
559,28755.082000000006
560,28465.081000000006
561,28890.081000000006
562,28930.080000000005
563,29360.079000000005
564,29900.081000000006
565,30250.082000000006
566,30015.083000000006
567,30410.082000000006
568,30840.082000000006
569,29670.082000000006
570,30610.084000000006
571,30215.087000000007
572,29820.089000000004
573,28695.089000000004
574,27910.094000000005
575,28505.094000000005
576,27920.097000000005
577,28085.100000000006
578,28275.104000000007
579,29595.109000000004
580,29485.113000000005
581,29325.119000000006
582,29560.120000000006
583,30345.121000000006
584,30690.126000000004
585,30140.127000000004
586,29745.133000000005
587,29695.143000000004
588,29465.149000000005
589,30220.156000000006
590,29880.160000000007
591,29485.165000000008
592,29095.169000000005
593,29675.177000000007
594,32505.181000000008
595,32850.187000000005
596,33120.19500000001
597,32925.20200000001
598,33170.20600000001
599,31760.21100000001
600,32350.21700000001
601,33115.22000000001
602,33150.22600000001
603,32180.234000000015
604,32060.234000000015
605,32495.238000000016
606,32290.248000000018
607,31205.263000000017
608,32030.265000000018
609,33690.267000000014
610,34205.271000000015
611,34050.275000000016
612,34145.27400000001
613,34625.27400000001
614,34705.27400000001
615,33825.27800000001
616,34215.28100000001
617,34125.28300000002
