;0;1;2;3;4;5;6;7;TOT
66;2292.008;4083.021;325;442.003;28;200;4230;0;11600.032
67;2037.007;4405.021;325;442.003;28;200;4230;0;11667.031
68;2219.008;4373.022;325;442.003;28;200;4230;0;11817.033
69;2024.006;4183.019;312.001;442.003;173;200;4230;0;11564.029
70;1824.007;4180.018;312.001;442.003;173;200;4230;0;11361.029
71;2214.006;4752.017;325;429.004;173;200;4230;0;12323.027
72;2206.006;4362.014;338;442.003;173;200;4230;0;11951.023
73;2219.005;3925.012;338;468.002;173;200;4230;0;11553.019
74;1634.005;3519.013;325.001;468.002;173;200;4230;0;10549.021
75;1439.003;3519.01;338;481.001;173;200;4230;0;10380.014
76;1574.004;3290.007;338;468.002;173;5;4230;0;10078.013
77;1787.001;2967.006;351;481.001;173;5;4230;0;9994.008
78;1977.001;2543.006;351;455.003;173;5;4230;0;9734.01
79;1977.001;2569;325.002;481.001;28;0.001;4230;0;9610.005
80;1977.001;2374;338.001;468.002;28;0.001;4230;0;9415.005
81;2177;1979.001;338.001;481.003;28;200;4230;0;9433.005
82;2177;2551.002;351;507.001;173;200;4230;0;10189.003
83;2177;2559.002;364;520;173;200;4230;0;10223.002
84;2177;2538.003;364;533;173;200;4230;0;10215.003
85;2177;3154;351.001;520.001;173;200;4230;0;10805.002
86;1787;3154;377;507.002;173;200;4230;0;10428.002
87;1982;2959;364.001;520.001;173;200;4230;0;10428.002
88;1592;2959;364.001;520.001;173;200;4230;0;10038.002
89;1189.001;2764;364.001;533.001;173;200;4230;0;9453.003
90;1197.001;2538.003;377.001;533.002;173;200;4230;0;9248.007
91;1184.002;2564.001;377.001;546.001;173;5;4230;0;9079.005
92;1397;2551.002;351.003;559;28;5;4230;0;9121.005
93;1397;2569.001;325.005;559;28;5;4230;0;9113.006
94;1592;2759.002;377.001;559;28;5;4230;0;9550.003
95;1787;2559.003;390;559;28;5;4230;0;9558.003
96;1787;2959.001;390;559;28;5;4230;0;9958.001
97;1592;2954.002;403;572;28;5;4230;0;9784.002
98;1592;3544.001;403;559.001;28;5;4230;0;10361.002
99;1787;3539.003;403.001;559.001;173;5;4230;0;10696.005
100;1574.002;3955.002;403.001;559.001;173;200;4230;0;11094.006
101;1774.001;3968.001;403.001;559.001;173;200;4230;0;11307.004
102;1592.001;3583;429;546.002;173;200;4230;0;10753.003
103;1787.001;3383.001;429;559.001;23.001;200;4230;0;10611.004
104;1787.001;3180.001;429.001;572.001;28;200;4230;0;10426.004
105;1397.001;2980.003;416.002;572.001;168.001;200;4230;0;9963.008
106;1605;2829;442;572.001;168.001;200;4230;0;10046.002
107;1605;2816.001;442;559.002;173;200;4230;0;10025.003
108;1982.001;2231.001;429.001;559.002;173;200;4230;0;9804.005
109;2177.001;2426.001;429.001;572.001;173;200;4230;0;10207.004
110;2190.001;2413.002;442;559.002;173;5;4230;0;10012.005
111;1795.002;2408.003;442;546.003;173;5;4230;0;9599.008
112;2190.001;2798.003;442;559.002;173;5;4230;0;10397.006
113;1995.001;2988.004;442;559.002;173;5;4230;0;10392.007
114;2008;3183.004;442;572.001;173;5;4230;0;10613.005
115;2008;3196.003;442;572.001;28;5;4230;0;10481.004
116;1808.001;3201.002;429.001;572.001;23.001;5;4230;0;10268.006
117;1618;3006.002;429.001;572.001;23.001;5;4230;0;9883.005
118;1813;3011.001;442;572.001;23.001;5;4230;0;10096.003
119;1423;2829;442;572.001;23.001;5;4230;0;9524.002
120;1423;2829;442;572.001;23.001;5;4230;0;9524.002
121;1228;3024;429.001;559.002;28;5;4230;0;9503.003
122;1215.001;2829;442;559.002;28;5;4230;0;9308.003
123;1228;2803.002;429.001;559.002;28;5;4230;0;9282.005
124;1033;2621.001;429.001;559.002;173;5;4230;0;9050.004
125;1410.001;2621.001;429.001;546.003;173;5;4230;0;9414.006
